iter	Logloss
0	0.6841364895
1	0.6753329834
2	0.6667784923
3	0.6584220945
4	0.6499615676
5	0.6419681568
6	0.6341689645
7	0.6264206287
8	0.6190096175
9	0.6117669962
10	0.6044728405
11	0.597285272
12	0.5903667866
13	0.5835084087
14	0.5768487315
15	0.5703748437
16	0.5640313043
17	0.5579998493
18	0.552235113
19	0.5463179202
20	0.5406344516
21	0.5352899451
22	0.5300703806
23	0.5248225358
24	0.5196488368
25	0.5146441092
26	0.5098671719
27	0.5050514461
28	0.5005279484
29	0.4961332256
30	0.4918620936
31	0.4876873557
32	0.4836259442
33	0.479653044
34	0.4755839175
35	0.4717565333
36	0.4680716218
37	0.464426868
38	0.4609102051
39	0.4573131139
40	0.453983128
41	0.4505689422
42	0.4472803418
43	0.4441850424
44	0.4411663214
45	0.4381633758
46	0.4352642824
47	0.4324483843
48	0.4296293039
49	0.4267448882
50	0.4241297304
51	0.4214335884
52	0.4188530055
53	0.4164441754
54	0.4139148915
55	0.4115605752
56	0.4093245607
57	0.4070497059
58	0.4048114502
59	0.4026006197
60	0.400546409
61	0.3985626971
62	0.3964992337
63	0.3946027728
64	0.3927570068
65	0.3909529962
66	0.3890573029
67	0.3872095636
68	0.3854112993
69	0.3837588321
70	0.3820520637
71	0.380445435
72	0.3788409415
73	0.3772895998
74	0.3758406365
75	0.3742480503
76	0.3727504388
77	0.3712731991
78	0.3699170943
79	0.3686057836
80	0.3672811387
81	0.3659084121
82	0.364570046
83	0.3633405532
84	0.3620953939
85	0.3608802168
86	0.3596860315
87	0.3585741709
88	0.3574829845
89	0.3563780751
90	0.3553638763
91	0.3543195635
92	0.3533577807
93	0.3523636594
94	0.3513719588
95	0.3503861426
96	0.3495379886
97	0.3485878076
98	0.3476559218
99	0.3467642951
100	0.3459457348
101	0.3451140733
102	0.3442506144
103	0.3435262152
104	0.3427800381
105	0.342019944
106	0.3412738479
107	0.3405102321
108	0.3397798258
109	0.3391058927
110	0.3384210649
111	0.3377330564
112	0.3370475105
113	0.3364100044
114	0.3358469285
115	0.3351615612
116	0.3345331181
117	0.333877184
118	0.3332586037
119	0.3327434528
120	0.3321165564
121	0.3316303158
122	0.3310569007
123	0.3305111805
124	0.3299831154
125	0.3294388753
126	0.3289222903
127	0.3284001187
128	0.3279456548
129	0.3274740306
130	0.3269905624
131	0.3265126749
132	0.3260307212
133	0.3255876382
134	0.32515747
135	0.3247393543
136	0.324362464
137	0.3240114434
138	0.3235863061
139	0.3231903019
140	0.3228393198
141	0.322447796
142	0.3220765749
143	0.3216653616
144	0.3213513119
145	0.3210183829
146	0.3206754706
147	0.3203279865
148	0.3200473152
149	0.3197701848
150	0.3194693945
151	0.3191156264
152	0.3188012083
153	0.3185101904
154	0.3182302094
155	0.3180196413
156	0.3177267096
157	0.3174553363
158	0.3172483439
159	0.3169750919
160	0.3167026525
161	0.3164583233
162	0.3161866035
163	0.3159191336
164	0.3156891643
165	0.3154379251
166	0.3151919745
167	0.314980445
168	0.3147606963
169	0.3145583191
170	0.3143528419
171	0.3141316513
172	0.3139226235
173	0.3137180571
174	0.3135296043
175	0.3133475134
176	0.3131385449
177	0.31294662
178	0.3127728527
179	0.3125863395
180	0.3124161803
181	0.3122211567
182	0.3120477633
183	0.3118866969
184	0.3117199664
185	0.3115501986
186	0.3114093311
187	0.3112853566
188	0.3110909421
189	0.3109468682
190	0.3108224245
191	0.3106658819
192	0.3105094565
193	0.3103798116
194	0.3102303956
195	0.3100966801
196	0.3099503051
197	0.309821772
198	0.3096824664
199	0.3095365692
200	0.3094070416
201	0.3092721316
202	0.309160727
203	0.3090317092
204	0.3089006463
205	0.3087467306
206	0.3086322573
207	0.3085369601
208	0.3084324775
209	0.308314627
210	0.3082161996
211	0.3081278429
212	0.3080216485
213	0.3079135902
214	0.3077988782
215	0.3077016625
216	0.3076146305
217	0.3075119136
218	0.3074101843
219	0.307320436
220	0.3072448138
221	0.3071854533
222	0.3070760907
223	0.3069978816
224	0.3069065807
225	0.3068220118
226	0.3067359327
227	0.3066393194
228	0.3065572691
229	0.3064595761
230	0.306388289
231	0.3063020273
232	0.3062247372
233	0.3061511964
234	0.306069041
235	0.3060009013
236	0.3059386131
237	0.3058687612
238	0.305816142
239	0.3057418173
240	0.3056611122
241	0.3055893633
242	0.3055289937
243	0.3054527972
244	0.3053689034
245	0.3053144777
246	0.3052384349
247	0.3051591404
248	0.3050905825
249	0.3050401511
250	0.3049790504
251	0.3049112365
252	0.3048542554
253	0.304790763
254	0.3047251238
255	0.3046756911
256	0.3046330768
257	0.3045866935
258	0.3045184417
259	0.3044515883
260	0.3043894043
261	0.3043322027
262	0.3042803907
263	0.3042276547
264	0.3041758337
265	0.3041201957
266	0.3040615458
267	0.304023141
268	0.303975813
269	0.3039240597
270	0.3038693504
271	0.303818413
272	0.3037803259
273	0.3037188185
274	0.3036577596
275	0.3036126033
276	0.3035554167
277	0.3035019872
278	0.3034498161
279	0.3033911435
280	0.3033461778
281	0.3033056645
282	0.3032834495
283	0.3032294586
284	0.3031666828
285	0.3031320594
286	0.3030847012
287	0.3030410402
288	0.3029942468
289	0.3029535991
290	0.3029107224
291	0.30286962
292	0.3028232586
293	0.3027841135
294	0.3027285849
295	0.3027182576
296	0.3026725909
297	0.3026223004
298	0.302584183
299	0.3025438724
300	0.3025074979
301	0.3024692821
302	0.3024312595
303	0.3023761451
304	0.3023275078
305	0.302281941
306	0.3022413008
307	0.302204052
308	0.3021655488
309	0.3021233978
310	0.3020936024
311	0.3020548225
312	0.3020120293
313	0.3019858401
314	0.3019435131
315	0.3019100286
316	0.3018726332
317	0.3018371416
318	0.3018009572
319	0.3017693288
320	0.3017310651
321	0.3017162421
322	0.3016765734
323	0.3016446951
324	0.3016124351
325	0.301579544
326	0.3015443355
327	0.3015131896
328	0.3014886304
329	0.3014687747
330	0.3014361405
331	0.3013984798
332	0.3013784235
333	0.3013483658
334	0.3013125959
335	0.3012732995
336	0.3012423923
337	0.3012172068
338	0.3011738466
339	0.3011387169
340	0.3011143947
341	0.3010885609
342	0.3010490651
343	0.3010253723
344	0.3009909709
345	0.3009558786
346	0.3009352324
347	0.3009030561
348	0.3008820902
349	0.300854595
350	0.3008240478
351	0.3007874155
352	0.300751358
353	0.300726734
354	0.3006935098
355	0.3006858858
356	0.3006585737
357	0.3006266229
358	0.3005980938
359	0.3005764914
360	0.3005558028
361	0.3005207139
362	0.3004945768
363	0.3004703079
364	0.3004351099
365	0.300405064
366	0.3003838986
367	0.3003600903
368	0.3003326229
369	0.3003080201
370	0.3002827909
371	0.3002485158
372	0.3002274417
373	0.3002046698
374	0.3001750991
375	0.3001457194
376	0.3001123555
377	0.3000887641
378	0.300071244
379	0.3000388028
380	0.3000033825
381	0.2999772754
382	0.2999553922
383	0.2999242536
384	0.2998939248
385	0.2998748626
386	0.2998552782
387	0.2998290359
388	0.2998021918
389	0.2997715915
390	0.2997467786
391	0.2997173941
392	0.2996876843
393	0.299656865
394	0.2996323104
395	0.2996098277
396	0.2995835842
397	0.2995786374
398	0.2995574199
399	0.2995358864
400	0.2995066871
401	0.299479226
402	0.2994496919
403	0.2994235796
404	0.2994082906
405	0.2993819099
406	0.299358839
407	0.299337119
408	0.299305342
409	0.2992774952
410	0.2992562258
411	0.2992358796
412	0.2992121049
413	0.2991913113
414	0.2991636047
415	0.2991424458
416	0.2991141152
417	0.2990851855
418	0.2990585515
419	0.2990330467
420	0.2990032608
421	0.2989747723
422	0.2989493795
423	0.2989189209
424	0.2988982861
425	0.298871367
426	0.2988456417
427	0.2988262806
428	0.2988019118
429	0.2987758834
430	0.2987608751
431	0.2987345703
432	0.2987126218
433	0.2986865905
434	0.2986706013
435	0.2986492576
436	0.2986207388
437	0.2986134838
438	0.2985969333
439	0.2985717782
440	0.2985562577
441	0.2985324632
442	0.2985110045
443	0.2984921881
444	0.2984651782
445	0.2984466626
446	0.2984291931
447	0.2984012581
448	0.2983809616
449	0.2983600284
450	0.2983407776
451	0.2983165476
452	0.298302667
453	0.2982999693
454	0.2982802768
455	0.2982543724
456	0.2982412608
457	0.2982155835
458	0.2981919118
459	0.2981666205
460	0.2981501797
461	0.2981308039
462	0.2981154095
463	0.2980968526
464	0.298072775
465	0.298068638
466	0.2980498771
467	0.2980295462
468	0.2980034587
469	0.2979831913
470	0.297964331
471	0.2979400098
472	0.297915609
473	0.297893081
474	0.2978709866
475	0.2978455245
476	0.2978259221
477	0.2978064883
478	0.2977880392
479	0.2977620316
480	0.2977328496
481	0.2977152087
482	0.2976857155
483	0.2976627586
484	0.2976380863
485	0.2976191144
486	0.2975954952
487	0.2975713099
488	0.2975501018
489	0.2975289463
490	0.297504538
491	0.2974810816
492	0.2974761959
493	0.2974553845
494	0.297435357
495	0.2974192942
496	0.2973952473
497	0.2973750633
498	0.2973586484
499	0.2973468004
500	0.2973229224
501	0.2973055474
502	0.2972899321
503	0.2972593979
504	0.2972290404
505	0.2972034729
506	0.2971753043
507	0.2971530511
508	0.2971392496
509	0.2971263712
510	0.2971053949
511	0.29708844
512	0.2970720038
513	0.2970507783
514	0.2970220281
515	0.2970026013
516	0.2969746625
517	0.2969577948
518	0.2969450397
519	0.2969283908
520	0.296909515
521	0.2968877578
522	0.2968680018
523	0.2968441499
524	0.2968195565
525	0.2968032336
526	0.2967801892
527	0.2967564921
528	0.2967446898
529	0.2967279586
530	0.2967096125
531	0.2966861225
532	0.296663258
533	0.2966414211
534	0.2966107092
535	0.29659265
536	0.2965793947
537	0.2965710378
538	0.2965559612
539	0.2965311111
540	0.2965203496
541	0.2965026024
542	0.2964829807
543	0.2964689897
544	0.2964473641
545	0.296423929
546	0.2963997944
547	0.2963842675
548	0.2963712133
549	0.2963497404
550	0.2963294392
551	0.2963037523
552	0.2962855678
553	0.2962678773
554	0.2962453344
555	0.2962312487
556	0.2962119876
557	0.2961961223
558	0.2961809381
559	0.2961574106
560	0.296125027
561	0.2961029059
562	0.2960913391
563	0.2960715906
564	0.2960522487
565	0.2960337312
566	0.296021252
567	0.2960091278
568	0.2959873775
569	0.2959780383
570	0.2959576546
571	0.2959346971
572	0.2959182377
573	0.2958946692
574	0.2958829263
575	0.2958668804
576	0.2958450007
577	0.2958305027
578	0.2958088904
579	0.295787372
580	0.2957658724
581	0.2957396233
582	0.2957138155
583	0.2956970048
584	0.2956733808
585	0.2956605213
586	0.2956327937
587	0.295619907
588	0.2955991431
589	0.2955863526
590	0.2955642693
591	0.2955423084
592	0.2955245126
593	0.2955100683
594	0.2954895597
595	0.2954695167
596	0.2954512779
597	0.2954282312
598	0.2954141465
599	0.2953960856
600	0.2953773799
601	0.2953563359
602	0.2953380042
603	0.2953190325
604	0.2952995831
605	0.2952869312
606	0.2952718427
607	0.2952610883
608	0.2952390427
609	0.2952190052
610	0.2952102285
611	0.2951928586
612	0.2951724024
613	0.2951600932
614	0.2951385569
615	0.2951198867
616	0.2950943396
617	0.2950853665
618	0.2950711805
619	0.2950556772
620	0.2950388624
621	0.2950245696
622	0.2950065149
623	0.2949862961
624	0.2949688396
625	0.2949522063
626	0.2949427648
627	0.2949267256
628	0.294898028
629	0.2948836519
630	0.294871773
631	0.2948540593
632	0.2948369616
633	0.2948130778
634	0.2947972829
635	0.2947821436
636	0.2947661333
637	0.2947513279
638	0.2947267925
639	0.2947036626
640	0.2946841887
641	0.2946672907
642	0.2946486744
643	0.2946484685
644	0.2946369906
645	0.2946192397
646	0.294602608
647	0.2945837281
648	0.2945643677
649	0.2945528837
650	0.2945328144
651	0.2945116312
652	0.2944932485
653	0.2944730494
654	0.2944711742
655	0.2944623268
656	0.294458842
657	0.2944438044
658	0.2944220742
659	0.2944086164
660	0.2943943
